Player,ID,Season,GM,KI_Ave,MK_Ave,HB_Ave,GL_Ave,BH_Ave,HO_Ave,TK_Ave,FF_Ave,FA_Ave,FantasyAve
"Aarts, Jake",1,2020,14,6.09,2.66,5.49,1.20,0.43,0.00,2.83,0.69,1.54,52.2
"Aarts, Jake",1,2021,21,5.81,2.52,4.76,0.86,0.57,0.00,2.52,0.95,1.29,47.4
"Abbott, Ryan",2,2018,4,5.00,2.75,5.75,0.75,0.75,27.25,5.75,0.50,2.00,84.8
"Abbott, Ryan",2,2019,1,5.00,3.00,6.00,1.00,0.00,24.00,4.00,1.00,3.00,74.0
"Ablett, Gary",3,2015,6,15.67,2.00,7.17,1.67,0.50,0.00,4.67,2.50,1.50,94.5
"Ablett, Gary",3,2016,14,14.50,2.00,12.50,0.71,0.86,0.00,6.07,1.36,1.36,101.2
"Ablett, Gary",3,2017,14,19.00,3.50,14.00,0.57,0.79,0.00,5.50,0.93,1.29,118.8
"Ablett, Gary",3,2018,19,15.58,4.47,13.47,0.84,0.79,0.00,3.79,1.26,1.68,104.3
"Ablett, Gary",3,2019,24,12.21,3.71,7.88,1.42,0.75,0.00,4.50,0.75,1.75,86.3
"Ablett, Gary",3,2020,12,9.70,2.40,8.20,0.90,0.80,0.00,2.70,0.50,1.00,67.2
"Acres, Blake",4,2015,7,6.29,2.57,5.57,0.00,0.14,1.43,2.57,0.29,0.86,47.3
"Acres, Blake",4,2016,16,10.00,3.56,7.75,0.44,0.38,0.88,3.13,0.75,0.63,71.4
"Acres, Blake",4,2017,18,9.89,4.50,10.44,0.61,0.22,0.11,2.83,0.67,0.72,77.9
"Acres, Blake",4,2018,12,10.75,3.92,10.75,0.33,0.58,0.83,3.58,1.50,1.42,80.5
"Acres, Blake",4,2019,19,8.11,3.68,8.11,0.32,0.26,0.47,3.84,0.89,1.05,67.3
"Acres, Blake",4,2020,7,12.86,6.86,10.11,0.00,0.00,0.00,3.26,0.51,1.20,89.3
"Acres, Blake",4,2021,18,10.22,3.72,7.67,0.11,0.00,0.56,2.50,0.67,1.00,66.1
"Adams, Marcus",5,2016,11,8.64,5.73,7.64,0.00,0.18,0.00,2.27,1.18,0.64,66.9
"Adams, Marcus",5,2017,10,8.60,6.50,6.80,0.40,0.70,0.00,3.00,0.40,0.50,72.9
"Adams, Marcus",5,2018,6,9.17,6.17,5.83,0.00,0.00,0.50,2.00,1.00,1.83,61.7
"Adams, Marcus",5,2019,10,7.40,5.10,3.10,0.00,0.00,0.00,1.20,0.40,0.80,46.5
"Adams, Marcus",5,2020,1,2.40,1.20,3.60,0.00,0.00,0.00,0.00,0.00,1.20,14.4
"Adams, Marcus",5,2021,17,9.76,5.41,4.18,0.00,0.00,0.00,1.76,0.76,0.82,59.2
"Adams, Taylor",6,2015,18,14.11,4.39,13.33,0.39,0.33,0.00,5.00,0.72,1.44,101.2
"Adams, Taylor",6,2016,14,15.14,4.57,12.57,0.43,0.07,0.00,4.43,1.50,1.07,102.9
"Adams, Taylor",6,2017,22,14.91,5.05,14.59,0.41,0.36,0.00,6.36,1.45,1.36,114.7
"Adams, Taylor",6,2018,23,14.35,3.39,12.61,0.39,0.39,0.00,5.22,1.78,1.61,99.0
"Adams, Taylor",6,2019,12,14.50,3.92,9.92,0.42,0.42,0.00,5.08,1.08,1.83,93.9
"Adams, Taylor",6,2020,19,15.47,3.98,11.75,0.57,0.13,0.00,6.51,1.83,1.45,108.9
"Adams, Taylor",6,2021,14,13.93,3.29,13.36,0.14,0.14,0.00,5.57,2.14,1.14,100.4
"Adcock, Jed",7,2015,21,7.05,4.38,5.24,0.81,0.48,0.00,3.19,1.14,0.76,61.7
"Adcock, Jed",7,2016,7,7.14,3.43,7.29,0.14,0.14,0.00,2.00,0.57,0.86,53.3
"Ah Chee, Brendon",8,2015,11,6.36,2.45,6.73,0.55,0.18,0.55,3.36,0.45,0.36,56.7
"Ah Chee, Brendon",8,2016,11,5.91,3.55,9.09,0.36,0.55,0.64,4.36,0.91,0.91,65.5
"Ah Chee, Brendon",8,2017,5,7.20,1.60,8.60,1.40,0.20,0.00,1.80,1.00,0.60,58.6
"Ah Chee, Brendon",8,2018,8,6.75,3.75,6.88,0.25,0.63,0.00,3.13,0.50,0.38,59.3
"Ah Chee, Brendon",8,2020,16,5.78,2.70,5.85,0.45,0.38,0.00,1.95,0.68,0.45,47.3
"Ah Chee, Brendon",8,2021,6,4.83,2.00,6.50,0.83,0.33,0.00,2.33,0.17,0.33,47.3
"Ah Chee, Callum",9,2016,16,5.31,2.88,7.75,0.56,0.56,0.00,3.06,0.88,0.50,55.6
"Ah Chee, Callum",9,2017,14,6.07,2.43,5.29,0.86,0.21,0.00,3.07,0.79,1.14,51.1
"Ah Chee, Callum",9,2018,14,9.07,3.64,5.50,0.21,0.43,0.00,2.64,0.93,1.21,58.7
"Ah Chee, Callum",9,2019,1,11.00,5.00,6.00,0.00,0.00,0.00,2.00,0.00,2.00,62.0
"Ah Chee, Callum",9,2020,18,9.20,4.20,4.60,0.20,0.27,0.00,3.47,0.60,0.93,62.5
"Ah Chee, Callum",9,2021,21,4.90,1.67,4.57,0.33,0.00,0.00,2.76,0.24,0.86,39.6
