Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Aarts, Jake",1,2021,21.00,122.00,53.00,100.00,18.00,12.00,0.00,53.00,20.00,27.00,72.80,47.40
"Aarts, Jake",1,2020,14.00,71.00,31.00,64.00,14.00,5.00,0.00,33.00,8.00,18.00,79.60,54.40
"Abbott, Ryan",2,2019,1.00,5.00,3.00,6.00,1.00,0.00,24.00,4.00,1.00,3.00,83.00,74.00
"Ablett, Gary",3,2020,12.00,97.00,24.00,82.00,9.00,8.00,0.00,27.00,5.00,10.00,82.40,70.00
"Ablett, Gary",3,2019,24.00,293.00,89.00,189.00,34.00,18.00,0.00,108.00,18.00,42.00,87.90,86.30
"Acres, Blake",4,2021,18.00,184.00,67.00,138.00,2.00,0.00,10.00,45.00,12.00,18.00,78.80,66.10
"Acres, Blake",4,2020,7.00,75.00,40.00,59.00,0.00,0.00,0.00,19.00,3.00,7.00,83.00,93.00
"Acres, Blake",4,2019,19.00,154.00,70.00,154.00,6.00,5.00,9.00,73.00,17.00,20.00,72.50,67.30
"Adams, Marcus",5,2021,17.00,166.00,92.00,71.00,0.00,0.00,0.00,30.00,13.00,14.00,92.10,59.20
"Adams, Marcus",5,2020,1.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,85.00,15.00
"Adams, Marcus",5,2019,10.00,74.00,51.00,31.00,0.00,0.00,0.00,12.00,4.00,8.00,87.40,46.50
"Adams, Taylor",6,2021,14.00,195.00,46.00,187.00,2.00,2.00,0.00,78.00,30.00,16.00,76.10,100.40
"Adams, Taylor",6,2020,19.00,245.00,63.00,186.00,9.00,2.00,0.00,103.00,29.00,23.00,79.70,113.40
"Adams, Taylor",6,2019,12.00,174.00,47.00,119.00,5.00,5.00,0.00,61.00,13.00,22.00,75.00,93.90
"Ah Chee, Brendon",7,2021,6.00,29.00,12.00,39.00,5.00,2.00,0.00,14.00,1.00,2.00,65.20,47.30
"Ah Chee, Brendon",7,2020,16.00,77.00,36.00,78.00,6.00,5.00,0.00,26.00,9.00,6.00,77.60,49.30
"Ah Chee, Callum",8,2021,21.00,103.00,35.00,96.00,7.00,0.00,0.00,58.00,5.00,18.00,74.50,39.60
"Ah Chee, Callum",8,2020,18.00,138.00,63.00,69.00,3.00,4.00,0.00,52.00,9.00,14.00,81.70,65.10
"Ah Chee, Callum",8,2019,1.00,11.00,5.00,6.00,0.00,0.00,0.00,2.00,0.00,2.00,75.00,62.00
"Ahern, Paul",9,2020,6.00,35.00,13.00,28.00,1.00,1.00,0.00,7.00,3.00,1.00,59.00,49.00
"Ahern, Paul",9,2019,7.00,80.00,20.00,44.00,2.00,3.00,0.00,8.00,1.00,4.00,73.40,60.60
"Ainsworth, Ben",10,2021,17.00,187.00,90.00,74.00,12.00,18.00,0.00,35.00,14.00,14.00,77.20,69.50
"Ainsworth, Ben",10,2020,16.00,147.00,70.00,80.00,12.00,13.00,0.00,27.00,15.00,9.00,82.20,77.50
"Ainsworth, Ben",10,2019,12.00,110.00,49.00,90.00,8.00,6.00,0.00,19.00,10.00,6.00,72.80,64.90
"Ainsworth, Brayden",11,2020,9.00,44.00,26.00,33.00,3.00,1.00,0.00,12.00,2.00,8.00,78.30,44.60
"Aish, James",12,2021,22.00,236.00,92.00,178.00,1.00,8.00,0.00,49.00,13.00,13.00,82.90,69.30
"Aish, James",12,2020,16.00,162.00,63.00,103.00,0.00,2.00,0.00,25.00,14.00,4.00,83.00,77.00
