Player,Player_ID,Season_ID,KI,MK,HB,GL,BH,HO,TK,FF,FA,FantasyAve
"Aarts, Jake",1,2020,5.07,2.21,4.57,1.00,0.36,0.00,2.36,0.57,1.29,54.40
"Aarts, Jake",1,2021,5.81,2.52,4.76,0.86,0.57,0.00,2.52,0.95,1.29,47.40
"Ablett, Gary",3,2020,8.08,2.00,6.83,0.75,0.67,0.00,2.25,0.42,0.83,70.00
"Ablett, Gary",3,2019,12.21,3.71,7.88,1.42,0.75,0.00,4.50,0.75,1.75,86.30
"Acres, Blake",4,2020,10.71,5.71,8.43,0.00,0.00,0.00,2.71,0.43,1.00,93.00
"Acres, Blake",4,2021,10.22,3.72,7.67,0.11,0.00,0.56,2.50,0.67,1.00,66.10
"Acres, Blake",4,2019,8.11,3.68,8.11,0.32,0.26,0.47,3.84,0.90,1.05,67.30
"Adams, Marcus",5,2019,7.40,5.10,3.10,0.00,0.00,0.00,1.20,0.40,0.80,46.50
"Adams, Marcus",5,2021,9.77,5.41,4.18,0.00,0.00,0.00,1.77,0.77,0.82,59.20
"Adams, Taylor",6,2019,14.50,3.92,9.92,0.42,0.42,0.00,5.08,1.08,1.83,93.90
"Adams, Taylor",6,2021,13.93,3.29,13.36,0.14,0.14,0.00,5.57,2.14,1.14,100.40
"Adams, Taylor",6,2020,12.90,3.32,9.79,0.47,0.11,0.00,5.42,1.53,1.21,113.40
"Ah Chee, Brendon",7,2021,4.83,2.00,6.50,0.83,0.33,0.00,2.33,0.17,0.33,47.30
"Ah Chee, Brendon",7,2020,4.81,2.25,4.88,0.38,0.31,0.00,1.63,0.56,0.38,49.30
"Ah Chee, Callum",8,2020,7.67,3.50,3.83,0.17,0.22,0.00,2.89,0.50,0.78,65.10
"Ah Chee, Callum",8,2021,4.91,1.67,4.57,0.33,0.00,0.00,2.76,0.24,0.86,39.60
"Ahern, Paul",9,2020,5.83,2.17,4.67,0.17,0.17,0.00,1.17,0.50,0.17,49.00
"Ahern, Paul",9,2019,11.43,2.86,6.29,0.29,0.43,0.00,1.14,0.14,0.57,60.60
"Ainsworth, Ben",10,2019,9.17,4.08,7.50,0.67,0.50,0.00,1.58,0.83,0.50,64.90
"Ainsworth, Ben",10,2020,9.19,4.38,5.00,0.75,0.81,0.00,1.69,0.94,0.56,77.50
"Ainsworth, Ben",10,2021,11.00,5.29,4.35,0.71,1.06,0.00,2.06,0.82,0.82,69.50
"Ainsworth, Brayden",11,2020,4.89,2.89,3.67,0.33,0.11,0.00,1.33,0.22,0.89,44.60
"Aish, James",12,2019,9.50,4.36,7.00,0.00,0.07,0.00,2.50,0.50,0.29,65.30
"Aish, James",12,2020,10.13,3.94,6.44,0.00,0.13,0.00,1.56,0.88,0.25,77.00
"Aish, James",12,2021,10.73,4.18,8.09,0.05,0.36,0.00,2.23,0.59,0.59,69.30
