Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Aarts, Jake",2021,21,122,53,100,18,12,0,53,20,27,72.8,47.4
"Aarts, Jake",2020,14,71,31,64,14,5,0,33,8,18,79.6,54.4
"Abbott, Ryan",2019,1,5,3,6,1,0,24,4,1,3,83,74
"Ablett, Gary",2020,12,97,24,82,9,8,0,27,5,10,82.4,70
"Ablett, Gary",2019,24,293,89,189,34,18,0,108,18,42,87.9,86.3
"Acres, Blake",2021,18,184,67,138,2,0,10,45,12,18,78.8,66.1
"Acres, Blake",2020,7,75,40,59,0,0,0,19,3,7,83,93
"Acres, Blake",2019,19,154,70,154,6,5,9,73,17,20,72.5,67.3
"Adams, Marcus",2021,17,166,92,71,0,0,0,30,13,14,92.1,59.2
"Adams, Marcus",2020,1,2,1,3,0,0,0,0,0,1,85,15
"Adams, Marcus",2019,10,74,51,31,0,0,0,12,4,8,87.4,46.5
"Adams, Taylor",2021,14,195,46,187,2,2,0,78,30,16,76.1,100.4
"Adams, Taylor",2020,19,245,63,186,9,2,0,103,29,23,79.7,113.4
"Adams, Taylor",2019,12,174,47,119,5,5,0,61,13,22,75,93.9
"Ah Chee, Brendon",2021,6,29,12,39,5,2,0,14,1,2,65.2,47.3
"Ah Chee, Brendon",2020,16,77,36,78,6,5,0,26,9,6,77.6,49.3
"Ah Chee, Callum",2021,21,103,35,96,7,0,0,58,5,18,74.5,39.6
"Ah Chee, Callum",2020,18,138,63,69,3,4,0,52,9,14,81.7,65.1
"Ah Chee, Callum",2019,1,11,5,6,0,0,0,2,0,2,75,62
"Ahern, Paul",2020,6,35,13,28,1,1,0,7,3,1,59,49
"Ahern, Paul",2019,7,80,20,44,2,3,0,8,1,4,73.4,60.6
"Ainsworth, Ben",2021,17,187,90,74,12,18,0,35,14,14,77.2,69.5
"Ainsworth, Ben",2020,16,147,70,80,12,13,0,27,15,9,82.2,77.5
"Ainsworth, Ben",2019,12,110,49,90,8,6,0,19,10,6,72.8,64.9
"Ainsworth, Brayden",2020,9,44,26,33,3,1,0,12,2,8,78.3,44.6
"Aish, James",2021,22,236,92,178,1,8,0,49,13,13,82.9,69.3
"Aish, James",2020,16,162,63,103,0,2,0,25,14,4,83,77
"Aish, James",2019,14,133,61,98,0,1,0,35,7,4,78.1,65.3
"Aliir, Aliir",2021,24,268,156,100,0,1,5,37,25,20,96.5,66.3
"Aliir, Aliir",2020,14,78,45,57,3,1,66,22,4,14,80.5,55.2
"Aliir, Aliir",2019,22,222,104,124,1,0,93,44,21,35,86.7,64.4
"Allen, Oscar",2021,21,154,99,58,28,16,31,39,20,19,81.1,57.6
"Allen, Oscar",2020,15,86,44,46,18,8,66,41,18,8,76,68.5
"Allen, Oscar",2019,21,134,75,79,20,11,59,58,38,15,77.1,57.1
"Allison, Jacob",2019,2,18,6,6,1,0,0,1,2,3,69,43.5
"Amartey, Joel",2021,6,38,16,17,5,3,49,23,4,7,74.3,58.8
"Amartey, Joel",2020,1,3,0,0,0,0,8,2,1,2,59,25
"Ambrose, Patrick",2021,1,1,0,4,0,1,0,2,1,0,56,21
"Ambrose, Patrick",2019,20,119,81,85,1,3,0,48,16,24,89.3,45.8
"Amon, Karl",2021,24,370,141,196,11,17,0,98,16,23,82.1,97.8
"Amon, Karl",2020,19,199,58,107,5,8,0,55,8,15,84.9,79.3
"Amon, Karl",2019,17,188,63,146,9,11,0,52,13,11,77.9,76.4
"Anderson, Jed",2021,7,65,22,67,4,1,0,40,5,9,72.4,79.7
"Anderson, Jed",2020,15,177,41,138,3,4,0,75,21,8,70.3,104.1
"Anderson, Jed",2019,17,146,44,204,6,3,0,93,9,18,68.6,79.1
"Anderson, Noah",2021,20,264,83,189,0,6,0,60,11,19,76.3,81
"Anderson, Noah",2020,17,159,48,122,4,4,0,32,10,10,76.1,73.6
"Andrews, Harris",2021,23,219,181,132,1,1,0,29,16,25,96.7,66.4
"Andrews, Harris",2020,16,113,71,58,0,0,0,17,14,8,95.4,56.7
"Andrews, Harris",2019,21,163,116,106,0,0,0,33,11,17,95.3,54.3
"Answerth, Noah",2020,9,71,25,24,0,0,0,17,3,3,84.2,55.3
"Answerth, Noah",2019,19,156,70,68,2,0,0,55,12,10,77.2,54.1
"Appleby, Flynn",2020,1,4,1,5,1,2,0,2,2,1,80,50
"Armitage, David",2019,2,20,8,13,0,0,0,6,1,1,80,66
"Ash, Lachie",2021,23,265,111,127,1,1,0,63,6,10,75.6,70.3
"Ash, Lachie",2020,12,79,31,57,1,0,0,22,5,5,80.9,55
"Astbury, David",2021,17,136,93,97,0,0,15,23,14,11,90.2,57
"Astbury, David",2020,9,73,39,38,0,0,3,17,8,6,86.7,65.7
"Astbury, David",2019,22,209,132,90,1,0,2,12,19,13,92.5,56.3
"Atkins, Rory",2021,8,47,16,41,2,2,0,9,0,3,68.1,39
"Atkins, Rory",2020,4,20,4,17,2,0,0,8,1,3,68,44.4
"Atkins, Rory",2019,20,296,115,135,6,9,0,31,4,16,84.7,81.4
"Atkins, Tom",2021,22,207,84,169,0,1,0,75,9,27,82.9,65.5
