Player,ID,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve,KI_norm,MK_norm,HB_norm,GL_norm,BH_norm,HO_norm,TK_norm,FF_norm,FA_norm,%P_norm,FantasyAve_norm
"Aarts, Jake",1.00,2021,21.00,122.00,53.00,100.00,18.00,12.00,0.00,53.00,20.00,27.00,72.80,47.40,0.24,0.29,0.22,0.29,0.29,0.00,0.29,0.37,0.59,0.69,0.38
"Aarts, Jake",1.00,2020,14.00,71.00,31.00,64.00,14.00,5.00,0.00,33.00,8.00,18.00,79.60,54.40,0.24,0.25,0.24,0.29,0.14,0.00,0.28,0.19,0.62,0.76,0.39
"Abbott, Ryan",2.00,2019,1.00,5.00,3.00,6.00,1.00,0.00,24.00,4.00,1.00,3.00,83.00,74.00,0.01,0.02,0.01,0.01,0.00,0.02,0.02,0.02,0.04,0.83,0.59
"Ablett, Gary",3.00,2020,12.00,97.00,24.00,82.00,9.00,8.00,0.00,27.00,5.00,10.00,82.40,70.00,0.33,0.19,0.30,0.18,0.22,0.00,0.23,0.12,0.34,0.79,0.52
"Ablett, Gary",3.00,2019,24.00,293.00,89.00,189.00,34.00,18.00,0.00,108.00,18.00,42.00,87.90,86.30,0.62,0.47,0.42,0.45,0.36,0.00,0.64,0.34,0.54,0.89,0.69
"Acres, Blake",4.00,2021,18.00,184.00,67.00,138.00,2.00,0.00,10.00,45.00,12.00,18.00,78.80,66.10,0.36,0.37,0.31,0.03,0.00,0.01,0.24,0.22,0.39,0.76,0.53
"Acres, Blake",4.00,2020,7.00,75.00,40.00,59.00,0.00,0.00,0.00,19.00,3.00,7.00,83.00,93.00,0.25,0.32,0.22,0.00,0.00,0.00,0.16,0.07,0.24,0.80,0.72
"Acres, Blake",4.00,2019,19.00,154.00,70.00,154.00,6.00,5.00,9.00,73.00,17.00,20.00,72.50,67.30,0.33,0.37,0.34,0.08,0.10,0.01,0.43,0.32,0.26,0.71,0.54
"Adams, Marcus",5.00,2021,17.00,166.00,92.00,71.00,0.00,0.00,0.00,30.00,13.00,14.00,92.10,59.20,0.32,0.51,0.16,0.00,0.00,0.00,0.16,0.24,0.30,0.91,0.48
"Adams, Marcus",5.00,2020,1.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,85.00,15.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.83,0.04
"Adams, Marcus",5.00,2019,10.00,74.00,51.00,31.00,0.00,0.00,0.00,12.00,4.00,8.00,87.40,46.50,0.16,0.27,0.07,0.00,0.00,0.00,0.07,0.08,0.10,0.88,0.36
"Adams, Taylor",6.00,2021,14.00,195.00,46.00,187.00,2.00,2.00,0.00,78.00,30.00,16.00,76.10,100.40,0.38,0.25,0.42,0.03,0.05,0.00,0.42,0.56,0.35,0.73,0.82
"Adams, Taylor",6.00,2020,19.00,245.00,63.00,186.00,9.00,2.00,0.00,103.00,29.00,23.00,79.70,113.40,0.82,0.50,0.69,0.18,0.06,0.00,0.88,0.67,0.79,0.76,0.90
"Adams, Taylor",6.00,2019,12.00,174.00,47.00,119.00,5.00,5.00,0.00,61.00,13.00,22.00,75.00,93.90,0.37,0.25,0.26,0.07,0.10,0.00,0.36,0.25,0.28,0.74,0.75
"Ah Chee, Brendon",7.00,2021,6.00,29.00,12.00,39.00,5.00,2.00,0.00,14.00,1.00,2.00,65.20,47.30,0.05,0.07,0.09,0.08,0.05,0.00,0.08,0.02,0.04,0.60,0.38
"Ah Chee, Brendon",7.00,2020,16.00,77.00,36.00,78.00,6.00,5.00,0.00,26.00,9.00,6.00,77.60,49.30,0.26,0.29,0.29,0.12,0.14,0.00,0.22,0.21,0.21,0.73,0.34
"Ah Chee, Callum",8.00,2021,21.00,103.00,35.00,96.00,7.00,0.00,0.00,58.00,5.00,18.00,74.50,39.60,0.20,0.19,0.22,0.11,0.00,0.00,0.31,0.09,0.39,0.71,0.31
"Ah Chee, Callum",8.00,2020,18.00,138.00,63.00,69.00,3.00,4.00,0.00,52.00,9.00,14.00,81.70,65.10,0.46,0.50,0.26,0.06,0.11,0.00,0.44,0.21,0.48,0.78,0.48
"Ah Chee, Callum",8.00,2019,1.00,11.00,5.00,6.00,0.00,0.00,0.00,2.00,0.00,2.00,75.00,62.00,0.02,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.03,0.74,0.49
"Ahern, Paul",9.00,2020,6.00,35.00,13.00,28.00,1.00,1.00,0.00,7.00,3.00,1.00,59.00,49.00,0.12,0.10,0.10,0.02,0.03,0.00,0.06,0.07,0.03,0.49,0.34
"Ahern, Paul",9.00,2019,7.00,80.00,20.00,44.00,2.00,3.00,0.00,8.00,1.00,4.00,73.40,60.60,0.17,0.11,0.10,0.03,0.06,0.00,0.05,0.02,0.05,0.72,0.48
"Ainsworth, Ben",10.00,2021,17.00,187.00,90.00,74.00,12.00,18.00,0.00,35.00,14.00,14.00,77.20,69.50,0.36,0.50,0.17,0.19,0.44,0.00,0.19,0.26,0.30,0.74,0.56
"Ainsworth, Ben",10.00,2020,16.00,147.00,70.00,80.00,12.00,13.00,0.00,27.00,15.00,9.00,82.20,77.50,0.49,0.56,0.30,0.24,0.36,0.00,0.23,0.35,0.31,0.79,0.59
"Ainsworth, Ben",10.00,2019,12.00,110.00,49.00,90.00,8.00,6.00,0.00,19.00,10.00,6.00,72.80,64.90,0.23,0.26,0.20,0.11,0.12,0.00,0.11,0.19,0.08,0.71,0.52
"Ainsworth, Brayden",11.00,2020,9.00,44.00,26.00,33.00,3.00,1.00,0.00,12.00,2.00,8.00,78.30,44.60,0.15,0.21,0.12,0.06,0.03,0.00,0.10,0.05,0.28,0.74,0.30
"Aish, James",12.00,2021,22.00,236.00,92.00,178.00,1.00,8.00,0.00,49.00,13.00,13.00,82.90,69.30,0.46,0.51,0.40,0.02,0.20,0.00,0.26,0.24,0.28,0.81,0.56
"Aish, James",12.00,2020,16.00,162.00,63.00,103.00,0.00,2.00,0.00,25.00,14.00,4.00,83.00,77.00,0.55,0.50,0.38,0.00,0.06,0.00,0.21,0.33,0.14,0.80,0.58
"Aish, James",12.00,2019,14.00,133.00,61.00,98.00,0.00,1.00,0.00,35.00,7.00,4.00,78.10,65.30,0.28,0.32,0.22,0.00,0.02,0.00,0.21,0.13,0.05,0.77,0.52
"Aliir, Aliir",13.00,2021,24.00,268.00,156.00,100.00,0.00,1.00,5.00,37.00,25.00,20.00,96.50,66.30,0.52,0.86,0.22,0.00,0.02,0.01,0.20,0.46,0.43,0.97,0.53
"Aliir, Aliir",13.00,2020,14.00,78.00,45.00,57.00,3.00,1.00,66.00,22.00,4.00,14.00,80.50,55.20,0.26,0.36,0.21,0.06,0.03,0.11,0.19,0.09,0.48,0.77,0.39
"Aliir, Aliir",13.00,2019,22.00,222.00,104.00,124.00,1.00,0.00,93.00,44.00,21.00,35.00,86.70,64.40,0.47,0.55,0.27,0.01,0.00,0.09,0.26,0.40,0.45,0.87,0.51
"Allen, Oscar",14.00,2021,21.00,154.00,99.00,58.00,28.00,16.00,31.00,39.00,20.00,19.00,81.10,57.60,0.30,0.55,0.13,0.45,0.39,0.04,0.21,0.37,0.41,0.79,0.46
"Allen, Oscar",14.00,2020,15.00,86.00,44.00,46.00,18.00,8.00,66.00,41.00,18.00,8.00,76.00,68.50,0.29,0.35,0.17,0.37,0.22,0.11,0.35,0.42,0.28,0.71,0.51
"Allen, Oscar",14.00,2019,21.00,134.00,75.00,79.00,20.00,11.00,59.00,58.00,38.00,15.00,77.10,57.10,0.28,0.40,0.17,0.26,0.22,0.06,0.34,0.72,0.19,0.76,0.45
"Allison, Jacob",15.00,2019,2.00,18.00,6.00,6.00,1.00,0.00,0.00,1.00,2.00,3.00,69.00,43.50,0.04,0.03,0.01,0.01,0.00,0.00,0.01,0.04,0.04,0.67,0.34
"Amartey, Joel",16.00,2021,6.00,38.00,16.00,17.00,5.00,3.00,49.00,23.00,4.00,7.00,74.30,58.80,0.07,0.09,0.04,0.08,0.07,0.06,0.12,0.07,0.15,0.71,0.47
"Amartey, Joel",16.00,2020,1.00,3.00,0.00,0.00,0.00,0.00,8.00,2.00,1.00,2.00,59.00,25.00,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.07,0.49,0.13
"Ambrose, Patrick",17.00,2021,1.00,1.00,0.00,4.00,0.00,1.00,0.00,2.00,1.00,0.00,56.00,21.00,0.00,0.00,0.01,0.00,0.02,0.00,0.01,0.02,0.00,0.49,0.16
"Ambrose, Patrick",17.00,2019,20.00,119.00,81.00,85.00,1.00,3.00,0.00,48.00,16.00,24.00,89.30,45.80,0.25,0.43,0.19,0.01,0.06,0.00,0.28,0.30,0.31,0.90,0.36
"Amon, Karl",18.00,2021,24.00,370.00,141.00,196.00,11.00,17.00,0.00,98.00,16.00,23.00,82.10,97.80,0.72,0.78,0.44,0.18,0.41,0.00,0.53,0.30,0.50,0.80,0.80
"Amon, Karl",18.00,2020,19.00,199.00,58.00,107.00,5.00,8.00,0.00,55.00,8.00,15.00,84.90,79.30,0.67,0.46,0.40,0.10,0.22,0.00,0.47,0.19,0.52,0.82,0.60
"Amon, Karl",18.00,2019,17.00,188.00,63.00,146.00,9.00,11.00,0.00,52.00,13.00,11.00,77.90,76.40,0.40,0.34,0.32,0.12,0.22,0.00,0.31,0.25,0.14,0.77,0.61
"Anderson, Jed",19.00,2021,7.00,65.00,22.00,67.00,4.00,1.00,0.00,40.00,5.00,9.00,72.40,79.70,0.12,0.12,0.15,0.06,0.02,0.00,0.22,0.09,0.20,0.69,0.65
"Anderson, Jed",19.00,2020,15.00,177.00,41.00,138.00,3.00,4.00,0.00,75.00,21.00,8.00,70.30,104.10,0.60,0.33,0.51,0.06,0.11,0.00,0.64,0.49,0.28,0.64,0.82
