Player,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,,,,
"Crouch, Matt",16,162,44,256,2,3,0,74,19,14,77.1,,,,
"Laird, Rory",17,186,46,203,3,1,0,69,19,20,80.9,,,,
"Smith, Brodie",16,203,58,72,5,6,0,38,7,10,79.4,,,,
"Keays, Ben",16,147,47,118,3,5,0,53,9,14,86.3,,,,
"Crouch, Brad",12,136,20,128,2,1,0,45,15,14,74.4,,,,
"OBrien, Reilly",17,107,64,125,0,3,463,68,19,16,88.1,,,,
"Lynch, Tom",13,144,53,78,6,5,0,13,7,6,81.1,,,,
"Brown, Luke",17,141,46,56,0,1,0,35,13,9,84.7,,,,
"Sloane, Rory",12,92,15,97,5,3,0,49,16,11,76.8,,,,
"Mackay, David",10,73,25,82,2,2,0,16,3,7,81.0,,,,
"Seedsman, Paul",9,79,24,65,4,5,0,28,7,5,86.9,,,,
"Doedee, Tom",9,75,47,54,0,0,0,15,6,3,83.6,,,,
"Kelly, Jake",15,86,44,39,0,0,0,38,10,11,87.7,,,,
"Talia, Daniel",14,83,47,41,0,0,0,15,10,9,90.8,,,,
"Jones, Chayce",15,64,22,58,6,1,0,28,14,15,80.1,,,,
"McAdam, Shane",13,79,47,43,12,12,0,38,11,9,77.0,,,,
"Stengle, Tyson",12,66,20,51,8,9,0,25,6,11,79.1,,,,
"McPherson, Andrew",9,56,25,58,0,0,0,15,6,2,72.9,,,,
"Hartigan, Kyle",12,68,37,43,0,0,0,18,8,8,89.7,,,,
"Murphy, Lachlan",12,57,17,54,7,8,0,38,14,7,79.6,,,,
"Himmelberg, Elliott",11,58,33,48,9,10,36,20,11,3,83.9,,,,
"Sholl, Lachlan",8,72,24,33,2,1,0,7,5,2,83.3,,,,
"Walker, Taylor",14,74,36,31,15,9,5,14,10,8,86.1,,,,
"Schoenberg, Harry",8,40,11,54,3,0,0,15,3,4,76.1,,,,
"Fogarty, Darcy",10,41,19,33,8,1,2,22,11,10,85.0,,,,
"McHenry, Ned",8,31,17,43,0,4,0,23,10,12,80.3,,,,
"Hamill, Will",8,33,15,35,0,0,0,14,8,7,62.9,,,,
"McAsey, Fischer",10,35,21,29,0,2,0,12,4,2,85.5,,,,
"Crocker, Ben",7,45,22,10,4,5,0,17,7,1,83.6,,,,
"Poholke, Myles",5,29,15,23,2,1,0,12,1,5,78.8,,,,
"Gibbs, Bryce",3,25,9,21,0,1,0,3,1,4,79.3,,,,
"Frampton, Billy",5,22,17,18,5,1,20,5,2,8,86.2,,,,
"Atkins, Rory",4,20,4,17,2,0,0,8,1,3,68.0,,,,
"Milera, Wayne",2,17,7,13,0,0,0,2,0,1,82.0,,,,
"Butts, Jordon",2,8,5,6,0,0,0,2,1,1,88.0,,,,
"Davis, Ben",1,4,2,1,1,0,0,2,3,0,85.0,,,,
"Strachan, Kieran",1,1, ,3,0,0,10,4,2,2,78.0,,,,
"Knight, Riley",1,2,1,1,0,0,0,5,0,2,77.0,,,,
"Neale, Lachie",19,249,80,262,14,13,0,59,21,12,92.3,,,,
"Lyons, Jarryd",19,255,64,156,4,10,0,77,22,12,83.5,,,,
"McCluggage, Hugh",19,219,70,136,8,21,0,52,13,6,84.7,,,,
"Zorko, Dayne",17,222,65,64,9,15,0,75,20,20,80.3,,,,
"Berry, Jarrod",17,155,70,116,7,10,0,64,20,21,77.5,,,,
"Robinson, Mitch",19,182,66,79,5,3,0,44,16,16,79.3,,,,
"Rich, Daniel",15,218,74,38,4,2,0,19,9,5,81.8,,,,
"Bailey, Zac",19,166,76,89,13,9,0,47,11,19,78.1,,,,
"Ah Chee, Callum",18,138,63,69,3,4,0,52,9,14,81.7,,,,
"Birchall, Grant",16,150,69,53,0,0,0,16,6,4,72.4,,,,
"Gardiner, Darcy",18,139,71,60,0,0,0,25,9,20,95.1,,,,
"Hipwood, Eric",19,147,79,40,24,19,0,17,13,17,92.0,,,,
"Cameron, Charlie",19,139,64,38,31,22,0,42,20,17,87.5,,,,
"Lester, Ryan",15,107,62,70,0,1,0,35,7,10,88.1,,,,
"Andrews, Harris",16,113,71,58,0,0,0,17,14,8,95.4,,,,
"Starcevich, Brandon",18,125,57,43,1,2,0,29,10,9,78.2,,,,
"Rayner, Cam",17,85,51,82,17,7,0,54,12,11,78.5,,,,
"McInerney, Oscar",19,91,33,75,6,4,363,57,19,13,79.4,,,,
"McCarthy, Lincoln",17,89,40,76,15,15,0,53,14,11,80.3,,,,
"McStay, Daniel",17,80,54,45,11,6,7,27,9,8,89.3,,,,
"Witherden, Alex",6,92,39,23,0,0,0,7,6,2,81.7,,,,
"Ellis-Yolmen, Cam",9,50,18,48,3,2, ,21,5,6,66.2,,,,
"Answerth, Noah",9,71,25,24,0,0,0,17,3,3,84.2,,,,
"Martin, Stefan",8,37,8,21,1,1,137,19,8,9,60.3,,,,
"Coleman, Keidean",5,25,9,17,2,1,0,23,3,9,78.2,,,,
"Berry, Tom",6,16,10,25,0,2,0,12,2,4,71.5,,,,
"Payne, Jack",5,28,20,11,0,0,0,4,1,4,87.8,,,,
"Smith, Archie",5,9,2,18,0,0,56,5,3,5,50.4,,,,
"Skinner, Sam",2,12,13,5,1,2,1,2,0,1,75.5,,,,
"Mathieson, Rhys",1,8,5,6,0,0,0,2,2,0,81.0,,,,
"Hinge, Mitch",1,10,2,3,0,0,0,3,0,0,83.0,,,,
"Ballenden, Connor",2,5,5,4,1,1,5,1,1,1,71.5,,,,
"Fullarton, Tom",2,5,1,4,1,3,0,2,1, ,40.0,,,,
"Robertson, Deven",1,3, ,4,0,0,0,3,0,1,68.0,,,,
"Adams, Marcus",1,2,1,3,0,0,0,0,0,1,85.0,,,,
"Eagles, Matt",2,2,0,0,0,0,15,4,0,1,46.0,,,,
"Walsh, Sam",17,193,73,156,8,4,0,47,7,14,84.5,,,,
"Cripps, Patrick",17,152,40,182,7,11,0,81,38,25,85.4,,,,
"Curnow, Ed",17,212,42,108,4,3,0,88,13,18,87.6,,,,
"Murphy, Marc",17,178,63,135,4,7,0,37,11,18,81.6,,,,
"Docherty, Sam",16,216,83,82,0,1,0,19,15,6,82.4,,,,
"Simpson, Kade",17,201,66,63,1,0,0,19,11,7,82.5,,,,
"Setterfield, Will",16,146,29,97,4,1,0,83,18,8,78.8,,,,
"Newnes, Jack",17,139,53,83,13,4,0,44,7,11,80.2,,,,
"Petrevski-Seton, Sam",16,155,49,62,0,0,0,36,10,8,78.5,,,,
"Gibbons, Michael",15,144,51,63,11,6,0,42,10,14,80.5,,,,
"Martin, Jack",15,115,64,88,12,11,0,48,16,16,75.7,,,,
"Weitering, Jacob",17,146,74,42,0,1,0,17,13,13,96.6,,,,
"Plowman, Lachie",16,116,54,47,0,2,0,30,11,9,92.4,,,,
"Williamson, Tom",15,103,48,55,1,1,0,28,11,9,75.1,,,,
"Casboult, Levi",17,112,80,40,16,8,86,31,9,22,88.6,,,,
"Cuningham, David",12,72,32,66,6,6,0,33,5,6,75.8,,,,
"Jones, Liam",17,111,72,24,0,2,0,24,9,15,95.1,,,,
"Betts, Eddie",15,89,24,44,13,13,0,41,8,8,84.4,,,,
"Kennedy, Matthew",7,63,26,50,2,1,0,20,5,2,68.9,,,,
"Pittonet, Marc",13,59,23,50,0,3,292,25,15,15,79.2,,,,
"Fisher, Zac",8,57,13,50,6,2,0,20,3,1,75.5,,,,
"McKay, Harry",13,76,57,21,21,15,0,20,14,17,87.8,,,,
"McGovern, Mitch",12,70,39,18,9,2,3,22,9,7,76.4,,,,
"De Koning, Tom",7,26,10,28,0,2,87,16,3,9,77.6,,,,
"Cottrell, Matthew",5,44,8,9,2,0,0,4,3,0,74.4,,,,
"Dow, Paddy",3,12,6,15,1,2,0,3,2,1,68.3,,,,
"Polson, Cameron",3,16,3,8,0,1,0,3,2,2,76.3,,,,
"Silvagni, Jack",3,12,5,4,2,2,0,2,2,0,55.0,,,,
"Newman, Nic",2,13,4,2,0,0,0,2,1,2,45.0,,,,
"Philp, Sam",2,8,1,6,1,1,0,3,1,1,69.0,,,,
"OBrien, Lochie",1,5,2,2,1,0,0,2,0,1,67.0,,,,
"Moore, Callum",2,2,2,4,0,0,3,4,0,3,72.5,,,,
"Owies, Matthew",1,3,1,2,0,0,0,1,0,2,68.0,,,,
