Player,Season,GM,KI,MK,HB,GL,BH,HO,TK,FF,FA,%P,FantasyAve
"Laird, Rory",2021,22,314,82,390,3,8,0,130,38,33,78.5,111.5
"Keays, Ben",2021,22,350,82,269,12,8,0,133,26,33,84.7,107.9
"Seedsman, Paul",2021,22,347,118,227,12,13,0,51,18,18,82.3,95.5
"Smith, Brodie",2021,21,332,107,101,2,4,0,38,9,8,81.2,79.6
"Schoenberg, Harry",2021,22,230,62,175,10,9,0,79,16,32,72.7,69.6
"Sloane, Rory",2021,18,198,67,204,3,2,0,87,24,17,82.0,85.8
"Doedee, Tom",2021,21,203,100,145,1,1,0,47,19,22,89.0,64.1
"Sholl, Lachlan",2021,19,208,78,126,3,7,0,21,7,5,75.7,63.7
"Kelly, Jake",2021,20,214,102,95,0,0,0,42,21,17,89.9,63.8
"OBrien, Reilly",2021,20,138,71,156,2,0,585,55,25,20,90.1,86.1
"McHenry, Ned",2021,21,120,54,138,11,7,0,65,21,37,78.3,49.6
"McPherson, Andrew",2021,18,156,54,88,0,0,0,29,8,7,70.4,50.5
"Rowe, James",2021,19,123,41,118,15,11,0,35,18,9,75.5,50.5
"Mackay, David",2021,18,147,42,93,6,6,0,40,16,7,70.1,52.8
"Butts, Jordon",2021,22,151,84,80,0,0,0,30,23,17,91.2,43.5
"Walker, Taylor",2021,17,155,90,72,48,29,40,23,20,21,86.1,75.6
"Lynch, Tom",2021,12,129,64,86,8,9,0,15,13,8,76.3,71.4
"Jones, Chayce",2021,15,128,43,58,1,3,0,19,6,15,73.6,45.0
"Murphy, Lachlan",2021,15,100,25,76,9,15,0,34,22,9,73.7,48.5
"Hamill, Will",2021,17,94,27,79,0,0,0,35,18,8,71.1,38.5
"Berry, Sam",2021,17,60,27,94,5,9,0,69,12,17,71.7,42.6
"Thilthorpe, Riley",2021,14,94,44,58,18,10,25,19,10,14,81.8,51.2
"Brown, Luke",2021,11,99,39,43,0,0,0,26,8,2,76.6,55.1
"Fogarty, Darcy",2021,17,95,53,42,24,12,1,21,19,16,74.6,43.5
"McAdam, Shane",2021,15,79,56,48,25,11,0,34,14,21,73.8,49.9
"Frampton, Billy",2021,10,64,50,33,2,11,24,8,4,7,82.1,47.0
"Murray, Nick",2021,13,70,29,20,1,1,1,18,13,10,66.5,30.8
"Himmelberg, Elliott",2021,8,42,25,29,8,6,14,8,10,7,77.4,43.5
"Cook, Brayden",2021,3,22,6,20,0,0,0,3,0,1,65.3,44.3
"Davis, Ben",2021,4,20,10,15,0,0,0,3,3,1,57.0,33.0
"Hately, Jackson",2021,3,18,7,17,0,2,0,12,1,1,58.0,52.3
"Strachan, Kieran",2021,2,13,7,16,0,2,59,3,0,6,85.5,73.5
"Pedlar, Luke",2021,2,14,4,5,0,0,0,1,1,1,75.0,33.0
"OConnor, Ronin",2021,3,3,2,14,0,0,0,8,0,2,37.7,23.0
"Gollant, Lachlan",2021,1,7,3,4,1,1,0,1,1,0,77.0,50.0
"Hinge, Mitch",2021,1,6,3,1,0,0,0,0,1,0,44.0,30.0
"Worrell, Josh",2021,1,2,0,1,0,0,0,2,0,0,63.0,16.0
"Lyons, Jarryd",2021,24,395,119,279,10,7,0,154,38,11,80.4,116.2
"Rich, Daniel",2021,24,514,137,110,3,10,0,42,12,11,83.0,97.8
"McCluggage, Hugh",2021,24,407,123,193,15,22,0,89,23,23,82.6,99.9
"Zorko, Dayne",2021,23,386,122,169,17,18,0,140,31,40,82.6,106.7
"Neale, Lachie",2021,17,220,66,239,8,6,0,70,35,17,84.7,97.3
"Bailey, Zac",2021,24,273,77,167,31,18,0,68,20,45,81.4,72.7
"Robinson, Mitch",2021,22,297,98,133,7,7,0,64,27,23,77.5,77.9
"Birchall, Grant",2021,23,307,159,118,2,0,0,23,3,9,79.8,74.5
"Andrews, Harris",2021,23,219,181,132,1,1,0,29,16,25,96.7,66.4
"Daniher, Joe",2021,24,259,117,83,46,32,49,25,30,33,93.8,70.1
