Player,ID,Season,GM,KI_Ave,MK_Ave,HB_Ave,GL_Ave,BH_Ave,HO_Ave,TK_Ave,FF_Ave,FA_Ave,FantasyAve,KI_Ave_norm,MK_Ave_norm,HB_Ave_norm,GL_Ave_norm,BH_Ave_norm,HO_Ave_norm,TK_Ave_norm,FF_Ave_norm,FA_Ave_norm,FantasyAve_norm
"Aarts, Jake",1,2020,14,6.09,2.66,5.49,1.2,0.43,0,2.83,0.69,1.54,52.2,0.3037,0.3115,0.2859,0.4286,0.1792,0.0000,0.2620,0.1917,0.4278,0.3859
"Aarts, Jake",1,2021,21,5.81,2.52,4.76,0.86,0.57,0,2.52,0.95,1.29,47.4,0.2644,0.2831,0.2419,0.2820,0.2500,0.0000,0.2907,0.3167,0.4300,0.3770
"Abbott, Ryan",2,2018,4,5,2.75,5.75,0.75,0.75,27.25,5.75,0.5,2,84.8,0.2317,0.3508,0.3006,0.2443,0.3219,0.6088,0.6805,0.1618,0.6667,0.6359
"Abbott, Ryan",2,2019,1,5,3,6,1,0,24,4,1,3,74,0.2518,0.3750,0.3171,0.3155,0.0000,0.5238,0.4444,0.4082,0.7500,0.5902
"Ablett, Gary",3,2015,6,15.67,2,7.17,1.67,0.5,0,4.67,2.5,1.5,94.5,0.8109,0.2060,0.3645,0.5219,0.2273,0.0000,0.5794,0.7813,0.3750,0.8203
"Ablett, Gary",3,2016,14,14.5,2,12.5,0.71,0.86,0,6.07,1.36,1.36,101.2,0.6918,0.1892,0.6139,0.1989,0.4135,0.0000,0.7058,0.4595,0.4533,0.8533
"Ablett, Gary",3,2017,14,19,3.5,14,0.57,0.79,0,5.5,0.93,1.29,118.8,0.9087,0.3867,0.6217,0.1570,0.2633,0.0000,0.5135,0.2793,0.2580,0.9274
"Ablett, Gary",3,2018,19,15.58,4.47,13.47,0.84,0.79,0,3.79,1.26,1.68,104.3,0.8447,0.5702,0.7041,0.2736,0.3391,0.0000,0.4485,0.4078,0.5600,0.7995
"Ablett, Gary",3,2019,24,12.21,3.71,7.88,1.42,0.75,0,4.5,0.75,1.75,86.3,0.6148,0.4638,0.4165,0.4479,0.3606,0.0000,0.5000,0.3061,0.4375,0.6910
"Ablett, Gary",3,2020,12,9.7,2.4,8.2,0.9,0.8,0,2.7,0.5,1,67.2,0.4838,0.2810,0.4271,0.3214,0.3333,0.0000,0.2500,0.1389,0.2778,0.5217
"Acres, Blake",4,2015,7,6.29,2.57,5.57,0,0.14,1.43,2.57,0.29,0.86,47.3,0.2924,0.2647,0.2832,0.0000,0.0636,0.0324,0.3189,0.0906,0.2150,0.3877
"Acres, Blake",4,2016,16,10,3.56,7.75,0.44,0.38,0.88,3.13,0.75,0.63,71.4,0.4771,0.3368,0.3806,0.1232,0.1827,0.0209,0.3640,0.2534,0.2100,0.6020
"Acres, Blake",4,2017,18,9.89,4.5,10.44,0.61,0.22,0.11,2.83,0.67,0.72,77.9,0.4730,0.4972,0.4515,0.1680,0.0733,0.0027,0.2642,0.2012,0.1440,0.5739
"Acres, Blake",4,2018,12,10.75,3.92,10.75,0.33,0.58,0.83,3.58,1.5,1.42,80.5,0.5649,0.5000,0.5619,0.1075,0.2489,0.0185,0.4237,0.4854,0.4733,0.5998
"Acres, Blake",4,2019,19,8.11,3.68,8.11,0.32,0.26,0.47,3.84,0.89,1.05,67.3,0.4084,0.4600,0.4286,0.1009,0.1250,0.0103,0.4267,0.3633,0.2625,0.5352
"Acres, Blake",4,2020,7,12.86,6.86,10.11,0,0,0,3.26,0.51,1.2,89.3,0.6414,0.8033,0.5266,0.0000,0.0000,0.0000,0.3019,0.1417,0.3333,0.7219
"Acres, Blake",4,2021,18,10.22,3.72,7.67,0.11,0,0.56,2.5,0.67,1,66.1,0.4722,0.4180,0.3897,0.0361,0.0000,0.0173,0.2884,0.2233,0.3333,0.5329
"Adams, Marcus",5,2016,11,8.64,5.73,7.64,0,0.18,0,2.27,1.18,0.64,66.9,0.4122,0.5421,0.3752,0.0000,0.0865,0.0000,0.2640,0.3986,0.2133,0.5641
"Adams, Marcus",5,2017,10,8.6,6.5,6.8,0.4,0.7,0,3,0.4,0.5,72.9,0.4113,0.7182,0.2774,0.1102,0.2333,0.0000,0.2801,0.1201,0.1000,0.5307
"Adams, Marcus",5,2018,6,9.17,6.17,5.83,0,0,0.5,2,1,1.83,61.7,0.4733,0.7870,0.3048,0.0000,0.0000,0.0112,0.2367,0.3236,0.6100,0.4421
"Adams, Marcus",5,2019,10,7.4,5.1,3.1,0,0,0,1.2,0.4,0.8,46.5,0.3726,0.6375,0.1638,0.0000,0.0000,0.0000,0.1333,0.1633,0.2000,0.3648
"Adams, Marcus",5,2020,1,2.4,1.2,3.6,0,0,0,0,0,1.2,14.4,0.1197,0.1405,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0435
"Adams, Marcus",5,2021,17,9.76,5.41,4.18,0,0,0,1.76,0.76,0.82,59.2,0.4505,0.6079,0.2124,0.0000,0.0000,0.0000,0.2030,0.2533,0.2733,0.4754
"Adams, Taylor",6,2015,18,14.11,4.39,13.33,0.39,0.33,0,5,0.72,1.44,101.2,0.7247,0.4521,0.6777,0.1219,0.1500,0.0000,0.6203,0.2250,0.3600,0.8818
"Adams, Taylor",6,2016,14,15.14,4.57,12.57,0.43,0.07,0,4.43,1.5,1.07,102.9,0.7223,0.4324,0.6174,0.1204,0.0337,0.0000,0.5151,0.5068,0.3567,0.8676
"Adams, Taylor",6,2017,22,14.91,5.05,14.59,0.41,0.36,0,6.36,1.45,1.36,114.7,0.7131,0.5580,0.6499,0.1129,0.1200,0.0000,0.5938,0.4354,0.2720,0.8920
"Adams, Taylor",6,2018,23,14.35,3.39,12.61,0.39,0.39,0,5.22,1.78,1.61,99,0.7735,0.4324,0.6592,0.1270,0.1674,0.0000,0.6178,0.5761,0.5367,0.7550
"Adams, Taylor",6,2019,12,14.5,3.92,9.92,0.42,0.42,0,5.08,1.08,1.83,93.9,0.7301,0.4900,0.5243,0.1325,0.2019,0.0000,0.5644,0.4408,0.4575,0.7533
"Adams, Taylor",6,2020,19,15.47,3.98,11.75,0.57,0.13,0,6.51,1.83,1.45,108.9,0.7716,0.4660,0.6120,0.2036,0.0542,0.0000,0.6028,0.5083,0.4028,0.8995
"Adams, Taylor",6,2021,14,13.93,3.29,13.36,0.14,0.14,0,5.57,2.14,1.14,100.4,0.6470,0.3697,0.6789,0.0459,0.0614,0.0000,0.6424,0.7133,0.3800,0.8190
"Adcock, Jed",7,2015,21,7.05,4.38,5.24,0.81,0.48,0,3.19,1.14,0.76,61.7,0.3344,0.4511,0.2664,0.2531,0.2182,0.0000,0.3958,0.3563,0.1900,0.5197
"Adcock, Jed",7,2016,7,7.14,3.43,7.29,0.14,0.14,0,2,0.57,0.86,53.3,0.3406,0.3245,0.3581,0.0392,0.0673,0.0000,0.2326,0.1926,0.2867,0.4494
"Ah Chee, Brendon",8,2015,11,6.36,2.45,6.73,0.55,0.18,0.55,3.36,0.45,0.36,56.7,0.2963,0.2523,0.3421,0.1719,0.0818,0.0125,0.4169,0.1406,0.0900,0.4739
"Ah Chee, Brendon",8,2016,11,5.91,3.55,9.09,0.36,0.55,0.64,4.36,0.91,0.91,65.5,0.2820,0.3359,0.4465,0.1008,0.2644,0.0152,0.5070,0.3074,0.3033,0.5523
"Ah Chee, Brendon",8,2017,5,7.2,1.6,8.6,1.4,0.2,0,1.8,1,0.6,58.6,0.3443,0.1768,0.3635,0.3857,0.0667,0.0000,0.1681,0.3003,0.1200,0.4071
"Ah Chee, Brendon",8,2018,8,6.75,3.75,6.88,0.25,0.63,0,3.13,0.5,0.38,59.3,0.3331,0.4783,0.3596,0.0814,0.2704,0.0000,0.3704,0.1618,0.1267,0.4220
"Ah Chee, Brendon",8,2020,16,5.78,2.7,5.85,0.45,0.38,0,1.95,0.68,0.45,47.3,0.2883,0.3162,0.3047,0.1607,0.1583,0.0000,0.1806,0.1889,0.1250,0.3415
"Ah Chee, Brendon",8,2021,6,4.83,2,6.5,0.83,0.33,0,2.33,0.17,0.33,47.3,0.2182,0.2247,0.3303,0.2721,0.1447,0.0000,0.2687,0.0567,0.1100,0.3761
"Ah Chee, Callum",9,2016,16,5.31,2.88,7.75,0.56,0.56,0,3.06,0.88,0.5,55.6,0.2533,0.2725,0.3806,0.1569,0.2692,0.0000,0.3558,0.2973,0.1667,0.4688
"Ah Chee, Callum",9,2017,14,6.07,2.43,5.29,0.86,0.21,0,3.07,0.79,1.14,51.1,0.2903,0.2685,0.2052,0.2369,0.0700,0.0000,0.2866,0.2372,0.2280,0.3423
"Ah Chee, Callum",9,2018,14,9.07,3.64,5.5,0.21,0.43,0,2.64,0.93,1.21,58.7,0.4676,0.4643,0.2875,0.0684,0.1845,0.0000,0.3124,0.3010,0.4033,0.4169
"Ah Chee, Callum",9,2019,1,11,5,6,0,0,0,2,0,2,62,0.5539,0.6250,0.3171,0.0000,0.0000,0.0000,0.2222,0.0000,0.5000,0.4918
"Ah Chee, Callum",9,2020,18,9.2,4.2,4.6,0.2,0.27,0,3.47,0.6,0.93,62.5,0.4589,0.4918,0.2396,0.0714,0.1125,0.0000,0.3213,0.1667,0.2583,0.4792
"Ah Chee, Callum",9,2021,21,4.9,1.67,4.57,0.33,0,0,2.76,0.24,0.86,39.6,0.2215,0.1876,0.2322,0.1082,0.0000,0.0000,0.3183,0.0800,0.2867,0.3119
"Ahern, Paul",10,2018,11,10.55,2.09,10.64,0.27,0.27,0,2.36,0.73,0.91,68.5,0.5533,0.2666,0.5562,0.0879,0.1159,0.0000,0.2793,0.2362,0.3033,0.4992
"Ahern, Paul",10,2019,7,11.43,2.86,6.29,0.29,0.43,0,1.14,0.14,0.57,60.6,0.5755,0.3575,0.3325,0.0915,0.2067,0.0000,0.1267,0.0571,0.1425,0.4803
"Ahern, Paul",10,2020,6,7,2.6,5.6,0.2,0.2,0,1.4,0.6,0.2,47,0.3491,0.3044,0.2917,0.0714,0.0833,0.0000,0.1296,0.1667,0.0556,0.3388
"Ainsworth, Ben",11,2017,13,6.77,3.46,4.92,1.08,0.69,0,3.23,1.08,0.77,59.4,0.3238,0.3823,0.1875,0.2975,0.2300,0.0000,0.3016,0.3243,0.1540,0.4140
"Ainsworth, Ben",11,2018,16,8.19,2.81,6.63,0.38,0.75,0,3.25,0.63,0.75,60.6,0.4166,0.3584,0.3466,0.1238,0.3219,0.0000,0.3846,0.2039,0.2500,0.4329
"Ainsworth, Ben",11,2019,12,9.17,4.08,7.5,0.67,0.5,0,1.58,0.83,0.5,64.9,0.4617,0.5100,0.3964,0.2114,0.2404,0.0000,0.1756,0.3388,0.1250,0.5156
"Ainsworth, Ben",11,2020,16,11.03,5.25,6,0.9,0.98,0,2.03,1.13,0.68,74.4,0.5501,0.6148,0.3125,0.3214,0.4083,0.0000,0.1880,0.3139,0.1889,0.5870
"Ainsworth, Ben",11,2021,17,11,5.29,4.35,0.71,1.06,0,2.06,0.82,0.82,69.5,0.5090,0.5944,0.2210,0.2328,0.4649,0.0000,0.2376,0.2733,0.2733,0.5613
"Ainsworth, Brayden",12,2018,3,9,3.33,4.67,0.33,0,0,4.33,0.67,0.67,64.3,0.4635,0.4247,0.2441,0.1075,0.0000,0.0000,0.5124,0.2168,0.2233,0.4639
"Ainsworth, Brayden",12,2020,9,5.87,3.47,4.4,0.4,0.13,0,1.6,0.27,1.07,42.8,0.2928,0.4063,0.2292,0.1429,0.0542,0.0000,0.1481,0.0750,0.2972,0.3007
"Aish, James",13,2015,11,7.82,2.18,6.45,0.18,0.09,0,2.64,0.55,0.73,53,0.3770,0.2245,0.3279,0.0563,0.0409,0.0000,0.3275,0.1719,0.1825,0.4400
"Aish, James",13,2016,15,8.53,2.8,7.27,0.67,0.2,0,2.8,1,0.47,63.5,0.4070,0.2649,0.3571,0.1877,0.0962,0.0000,0.3256,0.3378,0.1567,0.5354
"Aish, James",13,2017,8,8.63,3.63,7,0.13,0.25,0,3,0.75,0.88,61.9,0.4127,0.4011,0.2869,0.0358,0.0833,0.0000,0.2801,0.2252,0.1760,0.4356
"Aish, James",13,2018,13,10,3.62,7.08,0.31,0.23,0,2.92,1.08,0.38,68.7,0.5214,0.4617,0.3701,0.1010,0.0987,0.0000,0.3456,0.3495,0.1267,0.5008
"Aish, James",13,2019,14,9.5,4.36,7,0,0.07,0,2.5,0.5,0.29,65.3,0.4783,0.5450,0.3700,0.0000,0.0337,0.0000,0.2778,0.2041,0.0725,0.5189
"Aish, James",13,2020,16,12.15,4.73,7.73,0,0.15,0,1.88,1.05,0.3,73.9,0.6060,0.5539,0.4026,0.0000,0.0625,0.0000,0.1741,0.2917,0.0833,0.5824
"Aish, James",13,2021,22,10.73,4.18,8.09,0.05,0.36,0,2.23,0.59,0.59,69.3,0.4962,0.4697,0.4111,0.0164,0.1579,0.0000,0.2572,0.1967,0.1967,0.5596
"Aliir, Aliir",14,2016,13,7.92,4.31,6.46,0,0,0.08,2.38,0.62,0.46,58.5,0.3779,0.4078,0.3173,0.0000,0.0000,0.0019,0.2767,0.2095,0.1533,0.4933
"Aliir, Aliir",14,2017,3,6.67,3.67,5,0,0,0,3,0.33,1.33,49.3,0.3190,0.4055,0.1913,0.0000,0.0000,0.0000,0.2801,0.0991,0.2660,0.3267
"Aliir, Aliir",14,2018,12,10.08,7.58,6.17,0.08,0.08,0.5,1.08,0.75,0.92,68.8,0.5261,0.9668,0.3225,0.0261,0.0343,0.0112,0.1278,0.2427,0.3067,0.5017
"Aliir, Aliir",14,2019,22,10.09,4.73,5.64,0.05,0,4.23,2,0.95,1.59,64.4,0.5081,0.5913,0.2981,0.0158,0.0000,0.0923,0.2222,0.3878,0.3975,0.5115
"Aliir, Aliir",14,2020,14,6.69,3.86,4.89,0.26,0.09,5.66,1.89,0.34,1.2,53,0.3337,0.4520,0.2547,0.0929,0.0375,0.1442,0.1750,0.0944,0.3333,0.3931
"Aliir, Aliir",14,2021,24,11.17,6.5,4.17,0,0.04,0.21,1.54,1.04,0.83,66.3,0.5170,0.7303,0.2119,0.0000,0.0175,0.0065,0.1776,0.3467,0.2767,0.5346
"Allen, Oscar",15,2018,2,6.5,4,4,0,0.5,0,2.5,1.5,0.5,50,0.3187,0.5102,0.2091,0.0000,0.2146,0.0000,0.2959,0.4854,0.1667,0.3440
"Allen, Oscar",15,2019,21,6.38,3.57,3.76,0.95,0.52,2.81,2.76,1.81,0.71,57.1,0.3212,0.4463,0.1987,0.2997,0.2500,0.0613,0.3067,0.7388,0.1775,0.4516
"Allen, Oscar",15,2020,15,6.88,3.52,3.68,1.44,0.64,5.28,3.28,1.44,0.64,65.8,0.3431,0.4122,0.1917,0.5143,0.2667,0.1345,0.3037,0.4000,0.1778,0.5091
"Allen, Oscar",15,2021,21,7.33,4.71,2.76,1.33,0.76,1.48,1.86,0.95,0.9,57.6,0.3360,0.5292,0.1402,0.4361,0.3333,0.0457,0.2145,0.3167,0.3000,0.4621
"Allison, Jacob",16,2017,5,9.4,5.4,8.2,0.2,0.6,0,2,0.6,0.4,70,0.4495,0.5967,0.3443,0.0551,0.2000,0.0000,0.1867,0.1802,0.0800,0.5056
"Allison, Jacob",16,2018,3,6,5,7.33,0,0,0,0.33,0,0.33,48,0.2897,0.6378,0.3832,0.0000,0.0000,0.0000,0.0391,0.0000,0.1100,0.3272
"Allison, Jacob",16,2019,2,9,3,3,0.5,0,0,0.5,1,1.5,43.5,0.4532,0.3750,0.1586,0.1577,0.0000,0.0000,0.0556,0.4082,0.3750,0.3402
"Amartey, Joel",17,2020,1,3.6,0,0,0,0,9.6,2.4,1.2,2.4,24,0.1796,0.0000,0.0000,0.0000,0.0000,0.2445,0.2222,0.3333,0.6667,0.1304
"Amartey, Joel",17,2021,6,6.33,2.67,2.83,0.83,0.5,8.17,3.83,0.67,1.17,58.8,0.2889,0.3000,0.1438,0.2721,0.2193,0.2526,0.4418,0.2233,0.3900,0.4721
"Ambrose, Patrick",18,2015,16,4.56,3,7.69,0.38,0.31,1.63,5.19,0.81,1.13,60.4,0.1968,0.3090,0.3910,0.1188,0.1409,0.0370,0.6439,0.2531,0.2825,0.5078
"Ambrose, Patrick",18,2016,18,6.17,3.44,5.78,0.06,0.11,0.44,2.78,0.67,1,50.1,0.2944,0.3254,0.2839,0.0168,0.0529,0.0104,0.3233,0.2264,0.3333,0.4224
"Ambrose, Patrick",18,2017,10,6,4,6.2,0,0,0,1.8,0.8,0.4,49.2,0.2869,0.4420,0.2487,0.0000,0.0000,0.0000,0.1681,0.2402,0.0800,0.3258
"Ambrose, Patrick",18,2018,7,5.57,3,4.14,0.29,0,0,2.86,0.71,1.14,44.4,0.2648,0.3827,0.2164,0.0945,0.0000,0.0000,0.3385,0.2298,0.3800,0.2970
"Ambrose, Patrick",18,2019,20,5.95,4.05,4.25,0.05,0.15,0,2.4,0.8,1.2,45.8,0.2996,0.5063,0.2246,0.0158,0.0721,0.0000,0.2667,0.3265,0.3000,0.3590
"Ambrose, Patrick",18,2021,1,1,0,4,0,1,0,2,1,0,21,0.0377,0.0000,0.2033,0.0000,0.4386,0.0000,0.2307,0.3333,0.0000,0.1568
"Amon, Karl",19,2015,7,6.86,2.43,3.57,0.71,0.43,0.14,2.43,0.71,0,50.3,0.3239,0.2503,0.1815,0.2219,0.1955,0.0032,0.3015,0.2219,0.0000,0.4152
"Amon, Karl",19,2016,15,8.93,3,5.13,0.67,0.4,0,2.53,0.47,0.8,58.7,0.4260,0.2838,0.2520,0.1877,0.1923,0.0000,0.2942,0.1588,0.2667,0.4949
"Amon, Karl",19,2017,14,10.93,4.14,7.79,0.36,0.36,0,2.43,0.57,0.43,72.3,0.5227,0.4575,0.3247,0.0992,0.1200,0.0000,0.2269,0.1712,0.0860,0.5255
"Amon, Karl",19,2018,6,7.67,2.33,7.67,0.33,0,0,1.67,0.5,1.33,50.5,0.3864,0.2972,0.4009,0.1075,0.0000,0.0000,0.1976,0.1618,0.4433,0.3482
"Amon, Karl",19,2019,17,11.06,3.71,8.59,0.53,0.65,0,3.06,0.76,0.65,76.4,0.5569,0.4638,0.4540,0.1672,0.3125,0.0000,0.3400,0.3102,0.1625,0.6098
"Amon, Karl",19,2020,19,12.57,3.66,6.76,0.32,0.51,0,3.47,0.51,0.95,76.2,0.6269,0.4286,0.3521,0.1143,0.2125,0.0000,0.3213,0.1417,0.2639,0.6033
"Amon, Karl",19,2021,24,15.42,5.88,8.17,0.46,0.71,0,4.08,0.67,0.96,97.8,0.7172,0.6607,0.4151,0.1508,0.3114,0.0000,0.4706,0.2233,0.3200,0.7973
"Anderson, Jed",20,2015,4,4.5,1,5.5,0.25,0.75,0.75,5,0.25,0.5,49.3,0.1935,0.1030,0.2796,0.0781,0.3409,0.0170,0.6203,0.0781,0.1250,0.4060
"Anderson, Jed",20,2016,10,6,2.1,4.7,0.2,0.4,0,3.2,0.5,0.6,46.8,0.2863,0.1987,0.2308,0.0560,0.1923,0.0000,0.3721,0.1689,0.2000,0.3946
"Anderson, Jed",20,2017,5,5.6,1.6,5.6,0.6,0.4,0,4.8,1,0,57,0.2678,0.1768,0.2200,0.1653,0.1333,0.0000,0.4482,0.3003,0.0000,0.3933
"Anderson, Jed",20,2018,21,8.95,2.19,10.71,0.33,0.38,0,5.19,1,0.9,76.3,0.4606,0.2793,0.5599,0.1075,0.1631,0.0000,0.6142,0.3236,0.3000,0.5646
